#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.44343964e-02   0.00000000e+00   1.43300642e-02  -1.39863755e-23  -2.54582172e-16   5.72957795e+05   1.02497170e+00  -1.56203204e-16
  1.45244702e-02   0.00000000e+00   1.44188341e-02  -8.59609329e-24   8.37301518e-17   5.72957795e+05   1.02506452e+00  -7.00564775e-17
  1.46151061e-02   0.00000000e+00   1.45081498e-02   6.37470059e-25   1.48415985e-16   5.72957795e+05   1.02515792e+00   1.67236371e-16
  1.47063075e-02   0.00000000e+00   1.45980147e-02  -1.39001320e-23   5.18794398e-16   5.72957795e+05   1.02525192e+00  -1.33261442e-16
  1.47980781e-02   0.00000000e+00   1.46884319e-02  -5.61694576e-23  -9.46175482e-18   5.72957795e+05   1.02534651e+00  -1.07156273e-16
  1.48904214e-02   0.00000000e+00   1.47794049e-02  -5.32471701e-23   3.18526082e-16   5.72957795e+05   1.02544170e+00   1.41191895e-18
  1.49833408e-02   0.00000000e+00   1.48709371e-02   2.85772179e-24  -5.74649748e-22   5.72957795e+05   1.02553749e+00  -5.68073472e-17
  1.50768402e-02   0.00000000e+00   1.49630317e-02   2.35874787e-23   1.99027232e-16   5.72957795e+05   1.02563389e+00   7.49976484e-17
  1.51709229e-02   0.00000000e+00   1.50556923e-02  -2.50267048e-23  -2.08785968e-16   5.72957795e+05   1.02573090e+00  -7.09070910e-17
  1.52655928e-02   0.00000000e+00   1.51489223e-02   1.18947179e-24   9.95709131e-16   5.72957795e+05   1.02582852e+00   6.16273786e-17
  1.53608534e-02   0.00000000e+00   1.52427250e-02  -4.51018553e-24  -4.56365050e-22   5.72957795e+05   1.02592677e+00   5.14991787e-17
  1.54567085e-02   0.00000000e+00   1.53371039e-02  -5.59806381e-23   2.32312608e-17   5.72957795e+05   1.02602563e+00  -8.68804262e-17
  1.55531618e-02   0.00000000e+00   1.54320626e-02  -1.83040364e-23   3.54689727e-21   5.72957795e+05   1.02612512e+00   8.06911600e-17
  1.56502169e-02   0.00000000e+00   1.55276046e-02  -2.87743753e-23  -4.04637123e-21   5.72957795e+05   1.02622525e+00  -2.58869215e-17
  1.57478777e-02   0.00000000e+00   1.56237332e-02   3.42811138e-23  -1.21391137e-20   5.72957795e+05   1.02632600e+00  -1.54044039e-16
  1.58461479e-02   0.00000000e+00   1.57204522e-02   5.67027678e-23  -1.07861665e-20   5.72957795e+05   1.02642740e+00  -4.33083648e-17
  1.59450313e-02   0.00000000e+00   1.58177650e-02   1.73109637e-23  -3.27268924e-21   5.72957795e+05   1.02652944e+00   2.22485578e-17
  1.60445318e-02   0.00000000e+00   1.59156753e-02  -2.08279188e-23  -4.98240501e-16   5.72957795e+05   1.02663212e+00   6.68716068e-17
  1.61446531e-02   0.00000000e+00   1.60141867e-02   9.66425253e-24  -1.80465234e-21   5.72957795e+05   1.02673546e+00   3.42930238e-17
  1.62453993e-02   0.00000000e+00   1.61133027e-02   7.45070736e-24   4.98343586e-16   5.72957795e+05   1.02683945e+00  -1.46200391e-17
  1.63467742e-02   0.00000000e+00   1.62130271e-02  -9.62995754e-24   4.15034696e-21   5.72957795e+05   1.02694411e+00   9.94786354e-17
  1.64487816e-02   0.00000000e+00   1.63133634e-02  -5.77062367e-23   4.98459728e-16   5.72957795e+05   1.02704942e+00   1.07513081e-16
  1.65514256e-02   0.00000000e+00   1.64143155e-02  -1.63846701e-23  -1.68874234e-16   5.72957795e+05   1.02715540e+00  -7.26984948e-17
  1.66547101e-02   0.00000000e+00   1.65158869e-02  -2.14134242e-23  -4.98546061e-16   5.72957795e+05   1.02726206e+00   1.33043021e-16
  1.67586391e-02   0.00000000e+00   1.66180815e-02   2.56005416e-23   2.97469087e-16   5.72957795e+05   1.02736939e+00  -1.59922955e-16
  1.68632167e-02   0.00000000e+00   1.67209030e-02   1.80674840e-23  -6.06955685e-21   5.72957795e+05   1.02747741e+00  -1.28676416e-16
  1.69684469e-02   0.00000000e+00   1.68243551e-02   4.05564947e-23  -7.20872858e-21   5.72957795e+05   1.02758611e+00  -1.61403750e-16
  1.70743337e-02   0.00000000e+00   1.69284417e-02   2.67229389e-24  -2.50701023e-16   5.72957795e+05   1.02769550e+00   7.48169865e-17
  1.71808812e-02   0.00000000e+00   1.70331666e-02  -4.57930966e-23  -4.98805521e-16   5.72957795e+05   1.02780558e+00   1.11779647e-18
  1.72880937e-02   0.00000000e+00   1.71385337e-02  -3.83205849e-24   2.20452376e-16   5.72957795e+05   1.02791636e+00  -1.69383186e-16
  1.73959752e-02   0.00000000e+00   1.72445467e-02   1.40938311e-23  -2.44409171e-21   5.72957795e+05   1.02802785e+00   2.54461745e-18
  1.75045299e-02   0.00000000e+00   1.73512096e-02  -6.36508365e-23  -6.89899262e-16   5.72957795e+05   1.02814004e+00  -5.45608587e-17
  1.76137619e-02   0.00000000e+00   1.74585264e-02   2.61610265e-23  -3.52884388e-16   5.72957795e+05   1.02825295e+00   1.95680607e-16
  1.77236757e-02   0.00000000e+00   1.75665008e-02  -8.89340945e-24   8.23332727e-16   5.72957795e+05   1.02836657e+00  -6.65458683e-17
  1.78342753e-02   0.00000000e+00   1.76751370e-02  -2.32712774e-24   3.93732606e-22   5.72957795e+05   1.02848091e+00   8.46304398e-18
  1.79455651e-02   0.00000000e+00   1.77844388e-02  -2.77799117e-23   1.34010142e-16   5.72957795e+05   1.02859598e+00  -6.55974298e-17
  1.80575493e-02   0.00000000e+00   1.78944102e-02   2.17556258e-23  -3.63580076e-21   5.72957795e+05   1.02871179e+00  -7.42907252e-17
  1.81702324e-02   0.00000000e+00   1.80050554e-02   8.76674649e-23   8.92041296e-16   5.72957795e+05   1.02882832e+00   1.21309678e-16
  1.82836186e-02   0.00000000e+00   1.81163783e-02  -3.78535915e-23  -9.05638291e-16   5.72957795e+05   1.02894560e+00  -5.85900671e-17
  1.83977123e-02   0.00000000e+00   1.82283830e-02  -1.33312214e-23   1.07863169e-15   5.72957795e+05   1.02906362e+00  -5.63342876e-17
  1.85125181e-02   0.00000000e+00   1.83410736e-02  -2.22686328e-23   3.63093705e-21   5.72957795e+05   1.02918240e+00   2.47033825e-17
  1.86280402e-02   0.00000000e+00   1.84544543e-02  -2.08082333e-23   5.36406599e-17   5.72957795e+05   1.02930193e+00  -1.32180910e-16
  1.87442833e-02   0.00000000e+00   1.85685291e-02  -2.43140009e-23   3.91589415e-21   5.72957795e+05   1.02942221e+00   7.15650645e-17
  1.88612517e-02   0.00000000e+00   1.86833022e-02  -4.33493875e-23  -9.71182912e-16   5.72957795e+05   1.02954327e+00  -1.35777393e-16
  1.89789500e-02   0.00000000e+00   1.87987778e-02   5.45682446e-24   9.83832363e-16   5.72957795e+05   1.02966509e+00   1.53444749e-16
  1.90973828e-02   0.00000000e+00   1.89149602e-02  -8.56962390e-24   6.44490581e-18   5.72957795e+05   1.02978769e+00  -6.53107965e-17
  1.92165547e-02   0.00000000e+00   1.90318536e-02   3.52263950e-23  -9.90671725e-16   5.72957795e+05   1.02991106e+00  -4.57396117e-17
  1.93364702e-02   0.00000000e+00   1.91494622e-02  -5.08634211e-23   4.78817921e-16   5.72957795e+05   1.03003523e+00  -1.30898220e-16
  1.94571340e-02   0.00000000e+00   1.92677903e-02   6.25860576e-23   4.66926395e-16   5.72957795e+05   1.03016018e+00  -9.98748073e-18
  1.95785507e-02   0.00000000e+00   1.93868422e-02   3.49525415e-23   4.48067887e-17   5.72957795e+05   1.03028592e+00   6.89406571e-17
